
# PAMPA COMPARISON
Model,R2,Pearson_r,MAE,MSE,RMSE,Accuracy,N_Samples
Random Forest,0.5215319686623014,0.7420508916639477,0.40798755864088543,0.3274194583571918,0.5722057832259229,0.7906158357771261,1705
GNN,0.21132067388032505,0.5516044917613305,0.521650669510822,0.5396995010380605,0.7346424307362464,0.7249266862170088,1705


# BINARY COMPARISON
Model,Accuracy,Precision,Recall,F1-Score,N_Samples
Random Forest,0.7906158357771261,0.8004846526655897,0.9000908265213442,0.8473706712270201,1705
GNN,0.7249266862170088,0.7203626220362622,0.9382379654859219,0.8149901380670611,1705


# CACO COMPARISON
Model,R2,Pearson_r,MAE,MSE,RMSE,Accuracy,N_Samples
Random Forest,-2.0715860291249633,-0.04656296133032098,1.2395528402358185,2.1874429588567645,1.479000662223234,0.5331807780320366,1311
GNN,-1.4006076281094342,0.142783526519795,1.1208447955293794,1.7096028577072886,1.3075178230935471,0.5263157894736842,1311

